"","X","ticker","date","name","est","sector","industry","industry_group","marcap","invested_capital","total_equity","total_debt","pretax_income","dividends","roic"
"925",1,"PGS","2015-12-31",NA,NA,"Energy","Oil & Gas E&P",NA,2150,5.03,0.61,4.42,-3.9,0,-0.775347912524851
"926",1,"PGY","2015-09-30",NA,NA,NA,NA,NA,1520,0.19,0.18,8482,-5.81,0,-30.5789473684211
"927",1,"PHA","2015-12-31",NA,NA,NA,NA,NA,1570,0.17,0.17,NA,-0.26,0,-1.52941176470588
"928",1,"PHG","2016-06-30",NA,NA,"Healthcare","Medical Care",NA,68120,117.87,90.05,30.2,-3.87,-1.28,-0.0436922032747943
"929",1,"PHI","2016-06-30",NA,NA,"Real Estate","Real Estate Services",NA,252880,157.87,101.37,56.5,9.54,-0.58,0.0567555583708114
"930",1,"PHK","2016-06-30",NA,NA,"Industrials","Pollution & Treatment Controls",NA,26800,1.84,0.65,0.94,-2.32,0,-1.26086956521739
"931",1,"PIL","2016-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,13430,2.13,2.13,NA,-8.8,0,-4.13145539906103
"932",1,"PIO","2014-06-30",NA,NA,NA,NA,NA,12390,8.71,8.71,NA,-3.77,0,-0.432835820895522
"933",1,"PIQ","2016-06-30",NA,NA,NA,NA,NA,11890,1.23,0.79,0.44,-1.33,0,-1.08130081300813
"934",1,"PKO","2015-06-30",NA,NA,"Energy","Oil & Gas E&P",NA,680,0.57,-1.15,1.71,-4.67,0,-8.19298245614035
"935",1,"PMP","2016-06-30",NA,NA,"Industrials","Business Services",NA,204550,315.03,259.42,55.61,0.19,-9.72,-0.0302510871980446
"936",1,"PMV","2016-07-31",NA,NA,"Consumer Cyclical","Apparel Stores",NA,2507730,1444.36,1338.56,105.81,103.87,-68.97,0.0241629510648315
"937",1,"PMY","2016-06-30",NA,NA,NA,NA,NA,5790,3.08,3.08,NA,-2.19,0,-0.711038961038961
"938",1,"PNC","2016-06-30",NA,NA,"Financial Services","Credit Services",NA,85390,117,64.76,53.41,9.45,-4.74,0.0402564102564102
"939",1,"PNI","2016-06-30",NA,NA,"Financial Services","Asset Management",NA,223370,43.13,49.58,NA,4.54,-4.03,0.0118247159749594
"940",1,"PNN","2016-06-30",NA,NA,NA,NA,NA,4410,13.04,13.04,NA,-2.5,0,-0.191717791411043
"941",1,"PNO","2014-06-30",NA,NA,"Healthcare","Biotechnology",NA,0,-0.8,-3.41,2.46,-2.13,0,2.6625
"942",1,"PNR","2015-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,116000,25.45,25.45,0,-2.33,0,-0.0915520628683694
"943",1,"PNV","2016-06-30",NA,NA,"Healthcare","Biotechnology",NA,133180,15.11,15.11,NA,-3.06,0,-0.202514890800794
"944",1,"PNW","2016-06-30",NA,NA,NA,NA,NA,17720,23.72,17.97,5.75,1.09,-1.68,-0.0248735244519393
"945",1,"POH","2015-12-31",NA,NA,"Healthcare","Biotechnology",NA,40380,28.93,28.93,NA,-20.12,0,-0.695471828551677
"946",1,"POP","2016-06-30",NA,NA,"Technology","Software - Application",NA,6280,1.46,1.46,NA,-1.83,0,-1.25342465753425
"947",1,"POW","2016-06-30",NA,NA,"Basic Materials","Copper",NA,10280,8.82,8.82,NA,-4.72,0,-0.535147392290249
"948",1,"POZ","2016-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,5320,6.44,6.44,NA,-0.92,0,-0.142857142857143
"949",1,"PPG","2016-06-30",NA,NA,NA,NA,NA,207420,173.88,111.36,62.52,6.94,-2.8,0.0238095238095238
"950",1,"PPK","2015-06-30",NA,NA,"Real Estate","Real Estate Services",NA,11430,34.56,26,8.56,-11.13,-2.54,-0.395543981481482
"951",1,"PPL","2016-06-30",NA,NA,NA,NA,NA,28870,11.39,11.12,0.27,-2.15,0,-0.188762071992976
"952",1,"PPP","2016-06-30",NA,NA,"Energy","Oil & Gas E&P",NA,19310,30.19,30.19,NA,-20.33,0,-0.673401788671745
"953",1,"PPS","2016-06-30",NA,NA,NA,NA,NA,161320,16.24,16.24,NA,0.78,0,0.0480295566502463
"954",1,"PPT","2016-06-30",NA,NA,NA,NA,NA,2114740,692.52,605.52,87,132.01,-116.44,0.0224831051810778
